"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"XYZ Bank","Manager - Customer Management","Add Customer - Duplicate Handling","0","0","1","0","0"
"XYZ Bank","Manager - Customer Management","Add Customer - Input Validation","3","0","3","0","0"
"XYZ Bank","Customer - Transactions","Withdrawing Money","1","0","5","0","0"
"XYZ Bank","Manager - Customer Management","Delete Account","0","0","1","0","0"
"XYZ Bank","Manager - Customer Management","Add Customer - Customer List Search","0","0","1","0","0"
"XYZ Bank","Manager - Customer Management","Create Account","0","0","1","0","0"
"XYZ Bank","Customer - Transactions","Depositing Funds","1","0","4","0","0"
"XYZ Bank","Manager - Customer Management","Add Customer","0","0","1","0","0"
"XYZ Bank","Customer - Transactions","Transaction Security","0","0","1","0","0"
"XYZ Bank","Manager - Customer Management","Create Account - Access Control","0","0","1","0","0"
"XYZ Bank","Customer - Transactions","View Transactions","1","0","0","0","0"
"XYZ Bank","Manager - Customer Management","Add Customer - Boundary Input","0","0","1","0","0"
